dispnum3,incidnum3,dispnum4,incidnum4,stabb,ccode,stday,stmon,styear,endday,endmon,endyear,insidea,sidea,fatality,fatalpre,action,hostlev,revtype1,revtype2,version
3552,3552018,-9,-9,USA,2,17,1,1993,17,1,1993,0,1,0,0,17,4,4,0,4.3000002
3552,3552018,-9,-9,IRQ,645,17,1,1993,17,1,1993,1,0,-9,-9,17,4,4,0,4.3000002
3552,3552019,-9,-9,IRQ,645,17,1,1993,19,1,1993,0,0,1,-9,0,1,0,0,4.3000002
3552,3552019,-9,-9,USA,2,17,1,1993,19,1,1993,1,1,0,0,16,4,2,0,4.3000002
3552,3552019,-9,-9,FRN,220,17,1,1993,19,1,1993,1,1,0,0,16,4,2,0,4.3000002
3552,3552019,-9,-9,UKG,200,17,1,1993,19,1,1993,1,1,0,0,16,4,2,0,4.3000002
3552,3552020,-9,-9,KUW,690,17,1,1993,17,1,1993,0,1,0,0,17,4,2,0,4.3000002
3552,3552020,-9,-9,IRQ,645,17,1,1993,17,1,1993,1,0,1,1,17,4,2,0,4.3000002
3552,3552021,-9,-9,IRQ,645,18,1,1993,18,1,1993,0,0,-9,-9,0,1,0,0,4.3000002
3552,3552021,-9,-9,UKG,200,18,1,1993,18,1,1993,1,1,0,0,16,4,4,0,4.3000002
3552,3552021,-9,-9,USA,2,18,1,1993,18,1,1993,1,1,0,0,16,4,4,0,4.3000002
3552,3552021,-9,-9,FRN,220,18,1,1993,18,1,1993,1,1,0,0,16,4,4,0,4.3000002
3552,3552022,-9,-9,IRQ,645,21,1,1993,21,1,1993,0,0,0,0,0,1,0,0,4.3000002
3552,3552022,-9,-9,USA,2,21,1,1993,21,1,1993,1,1,0,0,16,4,2,0,4.3000002
3552,3552022,-9,-9,FRN,220,21,1,1993,21,1,1993,1,1,0,0,16,4,2,0,4.3000002
3552,3552023,-9,-9,IRQ,645,22,1,1993,22,1,1993,0,0,-9,-9,0,1,0,0,4.3000002
3552,3552023,-9,-9,USA,2,22,1,1993,22,1,1993,1,1,0,0,16,4,2,0,4.3000002
3552,3552024,-9,-9,USA,2,23,1,1993,23,1,1993,0,1,0,0,17,4,2,0,4.3000002
3552,3552024,-9,-9,IRQ,645,23,1,1993,23,1,1993,1,0,-9,-9,17,4,2,0,4.3000002
3552,3552025,-9,-9,USA,2,9,4,1993,9,4,1993,0,1,0,0,17,4,2,0,4.3000002
3552,3552025,-9,-9,IRQ,645,9,4,1993,9,4,1993,1,0,-9,-9,17,4,2,0,4.3000002
3552,3552026,-9,-9,IRQ,645,18,4,1993,18,4,1993,0,0,-9,-9,0,1,0,0,4.3000002
3552,3552026,-9,-9,USA,2,18,4,1993,18,4,1993,1,1,0,0,16,4,2,0,4.3000002
3552,3552027,-9,-9,IRQ,645,19,4,1993,19,4,1993,0,0,-9,-9,0,1,0,0,4.3000002
3552,3552027,-9,-9,USA,2,19,4,1993,19,4,1993,1,1,0,0,16,4,2,0,4.3000002
3552,3552028,-9,-9,IRQ,645,29,6,1993,29,6,1993,0,0,0,0,0,1,0,0,4.3000002
3552,3552028,-9,-9,USA,2,29,6,1993,29,6,1993,1,1,0,0,7,3,2,3,4.3000002
