Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1979","1979","tonnes","1100","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1980","1980","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1981","1981","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1982","1982","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1983","1983","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1984","1984","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1985","1985","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1986","1986","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1987","1987","tonnes","252","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1988","1988","tonnes","939","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1989","1989","tonnes","300","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1990","1990","tonnes","412","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1991","1991","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1992","1992","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1993","1993","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1994","1994","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1995","1995","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1996","1996","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1997","1997","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1998","1998","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","1999","1999","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","2000","2000","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","2001","2001","tonnes","120","*","Unofficial figure"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","2002","2002","tonnes","1009","*","Unofficial figure"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","2003","2003","tonnes","1292","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","2004","2004","tonnes","1633","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","2005","2005","tonnes","1651","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","2006","2006","tonnes","421","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","2007","2007","tonnes","1035","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","2008","2008","tonnes","2917","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","2009","2009","tonnes","4763","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","2010","2010","tonnes","1308","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","2011","2011","tonnes","2262","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","2012","2012","tonnes","1125","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","2013","2013","tonnes","2381","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","2014","2014","tonnes","2716","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","2015","2015","tonnes","2342","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","2016","2016","tonnes","1691","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","231","Almonds shelled","2017","2017","tonnes","3335","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","221","Almonds, with shell","2014","2014","tonnes","34","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","221","Almonds, with shell","2015","2015","tonnes","76","*","Unofficial figure"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","221","Almonds, with shell","2016","2016","tonnes","309","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","221","Almonds, with shell","2017","2017","tonnes","41","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","221","Almonds, with shell","2014","2014","tonnes","2284","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","221","Almonds, with shell","2015","2015","tonnes","2815","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","221","Almonds, with shell","2016","2016","tonnes","7344","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","221","Almonds, with shell","2017","2017","tonnes","8803","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","711","Anise, badian, fennel, coriander","2014","2014","tonnes","284","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","711","Anise, badian, fennel, coriander","2015","2015","tonnes","1000","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","711","Anise, badian, fennel, coriander","2016","2016","tonnes","815","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","711","Anise, badian, fennel, coriander","2017","2017","tonnes","38","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1961","1961","tonnes","","M","Data not available"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1962","1962","tonnes","","M","Data not available"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1963","1963","tonnes","","M","Data not available"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1964","1964","tonnes","","M","Data not available"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1965","1965","tonnes","","M","Data not available"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1966","1966","tonnes","","M","Data not available"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1967","1967","tonnes","","M","Data not available"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1968","1968","tonnes","","M","Data not available"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1969","1969","tonnes","","M","Data not available"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1970","1970","tonnes","","M","Data not available"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1971","1971","tonnes","","M","Data not available"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1972","1972","tonnes","","M","Data not available"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1973","1973","tonnes","","M","Data not available"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1974","1974","tonnes","","M","Data not available"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1975","1975","tonnes","","M","Data not available"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1976","1976","tonnes","","M","Data not available"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1977","1977","tonnes","","M","Data not available"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1978","1978","tonnes","","M","Data not available"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1979","1979","tonnes","","M","Data not available"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1980","1980","tonnes","","M","Data not available"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1981","1981","tonnes","","M","Data not available"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1982","1982","tonnes","","M","Data not available"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1983","1983","tonnes","","M","Data not available"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1984","1984","tonnes","","M","Data not available"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1985","1985","tonnes","","M","Data not available"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1986","1986","tonnes","480","*","Unofficial figure"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1987","1987","tonnes","410","*","Unofficial figure"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1988","1988","tonnes","195","*","Unofficial figure"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1989","1989","tonnes","770","*","Unofficial figure"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1990","1990","tonnes","960","*","Unofficial figure"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1991","1991","tonnes","950","*","Unofficial figure"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1992","1992","tonnes","420","*","Unofficial figure"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1993","1993","tonnes","330","*","Unofficial figure"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1994","1994","tonnes","140","*","Unofficial figure"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1995","1995","tonnes","1800","*","Unofficial figure"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1996","1996","tonnes","4100","*","Unofficial figure"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1997","1997","tonnes","2400","*","Unofficial figure"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1998","1998","tonnes","7000","*","Unofficial figure"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","1999","1999","tonnes","6800","*","Unofficial figure"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","2000","2000","tonnes","2400","*","Unofficial figure"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","2001","2001","tonnes","650","*","Unofficial figure"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","2002","2002","tonnes","1262","*","Unofficial figure"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","2003","2003","tonnes","3909","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","2004","2004","tonnes","8971","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","2005","2005","tonnes","9609","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","2006","2006","tonnes","9430","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","2007","2007","tonnes","16898","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","2008","2008","tonnes","1990","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","2009","2009","tonnes","3633","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","2010","2010","tonnes","5545","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","2011","2011","tonnes","3507","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","2012","2012","tonnes","2728","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","2013","2013","tonnes","4787","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","2014","2014","tonnes","21099","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","2015","2015","tonnes","17340","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","2016","2016","tonnes","8353","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","711","Anise, badian, fennel, coriander","2017","2017","tonnes","4387","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1961","1961","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1962","1962","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1963","1963","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1964","1964","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1965","1965","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1966","1966","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1967","1967","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1968","1968","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1969","1969","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1970","1970","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1971","1971","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1972","1972","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1973","1973","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1974","1974","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1975","1975","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1976","1976","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1977","1977","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1978","1978","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1979","1979","tonnes","58","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1980","1980","tonnes","12","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1981","1981","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1982","1982","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1983","1983","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1984","1984","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1985","1985","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1986","1986","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1987","1987","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1988","1988","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1989","1989","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1990","1990","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1991","1991","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1992","1992","tonnes","0","*","Unofficial figure"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1993","1993","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1994","1994","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1995","1995","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1996","1996","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1997","1997","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1998","1998","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","1999","1999","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","2000","2000","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","2001","2001","tonnes","0","F","FAO estimate"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","2002","2002","tonnes","611","*","Unofficial figure"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","2003","2003","tonnes","1938","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","2004","2004","tonnes","1273","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","2005","2005","tonnes","3008","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","2006","2006","tonnes","6127","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","2007","2007","tonnes","60","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","2008","2008","tonnes","88","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","2009","2009","tonnes","954","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","2010","2010","tonnes","10344","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","2011","2011","tonnes","1206","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","2012","2012","tonnes","1200","F","FAO estimate"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","2013","2013","tonnes","211","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","2014","2014","tonnes","42144","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","2015","2015","tonnes","532","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","2016","2016","tonnes","92334","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5610","Import Quantity","515","Apples","2017","2017","tonnes","183375","R","Estimated data using trading partners database"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1961","1961","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1962","1962","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1963","1963","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1964","1964","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1965","1965","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1966","1966","tonnes","0","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1967","1967","tonnes","2293","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1968","1968","tonnes","1188","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1969","1969","tonnes","821","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1970","1970","tonnes","2317","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1971","1971","tonnes","859","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1972","1972","tonnes","5672","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1973","1973","tonnes","4038","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1974","1974","tonnes","5516","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1975","1975","tonnes","5306","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1976","1976","tonnes","3981","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1977","1977","tonnes","2080","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1978","1978","tonnes","3612","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1979","1979","tonnes","1543","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1980","1980","tonnes","3800","*","Unofficial figure"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1981","1981","tonnes","3300","*","Unofficial figure"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1982","1982","tonnes","4200","*","Unofficial figure"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1983","1983","tonnes","4800","*","Unofficial figure"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1984","1984","tonnes","5679","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1985","1985","tonnes","3298","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1986","1986","tonnes","2767","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1987","1987","tonnes","5043","","Official data"
"TP","Crops and livestock products","2","Afghanistan","5910","Export Quantity","515","Apples","1988","1988","tonnes","1829","","Official data"
